cadence_id,cadence_name,model,created_at,most_recent_person_added,calls_ever_alltime,salesloft_url
3042820, **RETIRING USE 2024 CADCENCE** BDR-MM - Office/Operations - T1 ,BDR,2023-03-22,2024-03-01T08:39:20.612405-08:00,7393,https://app.salesloft.com/app/cadences/3042820
3072743, **RETIRING USE 2024 CADCENCE** BDR-MM - Partners - T1 ,BDR,2023-04-13,2024-02-14T09:11:11.728239-08:00,2334,https://app.salesloft.com/app/cadences/3072743
3973543, BDR | CS - August Draft AMA | Demo Requests CQLs,BDR,2025-08-28,2025-08-29T10:16:36.558528-07:00,7,https://app.salesloft.com/app/cadences/3973543
3966561, BDR | CS - Q3 Advanced Plan Webinar | Demo Requests,BDR,2025-08-20,2025-11-18T07:02:18.818482-08:00,4,https://app.salesloft.com/app/cadences/3966561
3919958, BDR | CS - Q3 Duo Demo Webinar | Demo Requests,BDR,2025-06-24,2025-07-24T09:28:26.990657-07:00,40,https://app.salesloft.com/app/cadences/3919958
3453995, BDR-CS: PI Summit Follow Up - Non Attended PI CQLs,BDR,2024-03-20,2024-03-24T18:50:06.845792-07:00,225,https://app.salesloft.com/app/cadences/3453995
3485947, BDR-CS: PI Webinar April 10th Non Attended PI CQLs ,BDR,2024-04-11,2024-05-09T14:06:07.909577-07:00,7,https://app.salesloft.com/app/cadences/3485947
3760091, BDR-S - Intent - AI - 2025,BDR,2024-12-16,2025-04-08T07:26:30.901195-07:00,2290,https://app.salesloft.com/app/cadences/3760091
3899534, OB - Ops/Billing/Office - BDR-S - 2025,BDR,2025-05-30,2025-07-11T14:25:20.584600-07:00,1,https://app.salesloft.com/app/cadences/3899534
3899539, OB - Ops/Billing/Office - BDR-V - 2025,BDR,2025-05-30,2025-10-27T12:26:59.377483-07:00,6,https://app.salesloft.com/app/cadences/3899539
3898869, OB - Personal Injury - BDR-MM - 2025,BDR,2025-05-29,2025-09-22T07:04:38.047352-07:00,60,https://app.salesloft.com/app/cadences/3898869
3764878,$BDR - MM - A Tier Accounts Attack - Hottest Accounts,BDR,2024-12-30,2025-07-03T06:19:42.062433-07:00,26,https://app.salesloft.com/app/cadences/3764878
3970122,$BDR-Draft - B.T.L W&E Cadence 2025,BDR,2025-08-25,2025-11-26T14:45:13.738685-08:00,0,https://app.salesloft.com/app/cadences/3970122
3541979,$BDR-MM - ALA Outreach - Pre Event,BDR,2024-05-15,2024-07-17T10:58:47.539375-07:00,174,https://app.salesloft.com/app/cadences/3541979
3687896,$BDR-MM - ALL Firm Central - High Touch ,BDR,2024-09-18,2025-02-18T11:45:12.812091-08:00,0,https://app.salesloft.com/app/cadences/3687896
3448796,$BDR-MM - AQL - Low Tier ,BDR,2024-03-18,2025-03-13T06:42:21.370329-07:00,217,https://app.salesloft.com/app/cadences/3448796
3455872,$BDR-MM - AQL - PI Summit - Follow Up ,BDR,2024-03-21,2024-04-26T09:24:46.001322-07:00,7,https://app.salesloft.com/app/cadences/3455872
2191697,$BDR-MM - AQL / MQL - Revival ,BDR,2021-07-15,2025-01-29T10:36:56.874306-08:00,1161,https://app.salesloft.com/app/cadences/2191697
3626944,$BDR-MM - ClioCon 2024 - Pre Event Outreach,BDR,2024-07-17,2025-06-04T18:39:03.464200-07:00,2069,https://app.salesloft.com/app/cadences/3626944
3707150,$BDR-MM - ClioCon24 Follow Up - Attendees,BDR,2024-10-10,2024-12-04T12:46:18.537630-08:00,41,https://app.salesloft.com/app/cadences/3707150
3489796,$BDR-MM - Closed Lost - Tier 2,BDR,2024-04-15,2024-05-27T17:25:32.620851-07:00,10,https://app.salesloft.com/app/cadences/3489796
3727045,$BDR-MM - Closed Lost Q4 24 ,BDR,2024-11-03,never,0,https://app.salesloft.com/app/cadences/3727045
3727047,$BDR-MM - Closed Lost Q4 24 ,BDR,2024-11-03,never,0,https://app.salesloft.com/app/cadences/3727047
3727048,$BDR-MM - Closed Lost Q4 24 ,BDR,2024-11-03,never,0,https://app.salesloft.com/app/cadences/3727048
3727046,$BDR-MM - Closed Lost Q4 24 ,BDR,2024-11-03,never,0,https://app.salesloft.com/app/cadences/3727046
3623261,$BDR-MM - Connected Bad Timing - Send Information + Follow Up,BDR,2024-07-15,2025-06-25T14:49:23.929895-07:00,34,https://app.salesloft.com/app/cadences/3623261
3623241,$BDR-MM - Connected Interest - Send Information + Follow Up,BDR,2024-07-15,2025-05-30T13:18:13.050193-07:00,133,https://app.salesloft.com/app/cadences/3623241
4050476,$BDR-MM - FV Security Incident Outreach Dec 2025,BDR,2025-12-05,2025-12-05T12:58:51.287858-08:00,21,https://app.salesloft.com/app/cadences/4050476
3432860,$BDR-MM - GOOD FIT ACCOUNTS - Long Terms Nurtures,BDR,2024-03-06,2025-05-15T11:12:46.325097-07:00,0,https://app.salesloft.com/app/cadences/3432860
3075530,$BDR-MM - General Tier 1 - IT ,BDR,2023-04-17,2025-06-04T07:30:43.844024-07:00,2532,https://app.salesloft.com/app/cadences/3075530
3403273,$BDR-MM - General Tier 1 - Office/Operations/Billing  ,BDR,2024-02-14,2025-06-04T12:56:39.310011-07:00,3583,https://app.salesloft.com/app/cadences/3403273
3403280,$BDR-MM - General Tier 1 - Paralegals / Attorneys,BDR,2024-02-14,2025-06-02T21:03:12.355549-07:00,340,https://app.salesloft.com/app/cadences/3403280
3403277,$BDR-MM - General Tier 1 - Partners & Decision Makers,BDR,2024-02-14,2025-07-08T07:42:46.233440-07:00,7522,https://app.salesloft.com/app/cadences/3403277
3772004,$BDR-MM - High-Impact OKRs and KPIs for Mid-Sized Firms (Webinar),BDR,2025-01-09,2025-03-14T12:29:05.022472-07:00,0,https://app.salesloft.com/app/cadences/3772004
3771620,$BDR-MM - High-Impact OKRs and KPIs for Mid-Sized Firms (Webinar),BDR,2025-01-09,2025-01-09T14:47:52.736968-08:00,0,https://app.salesloft.com/app/cadences/3771620
3677063,$BDR-MM - Hot Leads - Call Only Cadence,BDR,2024-09-06,2025-02-04T06:55:27.603392-08:00,240,https://app.salesloft.com/app/cadences/3677063
3582433,$BDR-MM - ILTACON 2024 - Pre-Outreach - IT Personas,BDR,2024-06-10,2024-08-06T10:53:10.143742-07:00,46,https://app.salesloft.com/app/cadences/3582433
3785143,$BDR-MM - Intent - Document Management - Outbound,BDR,2025-01-27,2025-10-31T07:23:41.465295-07:00,352,https://app.salesloft.com/app/cadences/3785143
3785145,$BDR-MM - Intent - Practice Management - Outbound,BDR,2025-01-27,2025-12-01T07:38:16.036841-08:00,1259,https://app.salesloft.com/app/cadences/3785145
3452077,$BDR-MM - Legal Insider Magazine Q1 - Delivery Follow Up,BDR,2024-03-19,2024-06-07T11:45:45.937544-07:00,174,https://app.salesloft.com/app/cadences/3452077
3615298,$BDR-MM - LinkedIn + Calls Cadence Outbound,BDR,2024-07-08,2025-06-16T12:03:30.274087-07:00,118,https://app.salesloft.com/app/cadences/3615298
3421390,$BDR-MM - NURTURE LEADS - Priority 3 - Future Follow Ups,BDR,2024-02-27,2025-02-12T08:57:59.296611-08:00,0,https://app.salesloft.com/app/cadences/3421390
3660422,$BDR-MM - Nurture - A-Tier (High Priority) - Actively Engaged,BDR,2024-08-20,never,0,https://app.salesloft.com/app/cadences/3660422
3660423,$BDR-MM - Nurture - B-Tier (Med Priority) - Potential Fit,BDR,2024-08-20,never,0,https://app.salesloft.com/app/cadences/3660423
3760485,$BDR-MM - Only Document Management - Outbound,BDR,2024-12-16,never,0,https://app.salesloft.com/app/cadences/3760485
3303986,$BDR-MM - Opp No Shows - Follow Ups,BDR,2023-11-01,2024-11-01T13:47:54.515915-07:00,93,https://app.salesloft.com/app/cadences/3303986
3760453,$BDR-MM - Outdated Billing Solution - Outbound,BDR,2024-12-16,2025-06-04T06:43:38.901491-07:00,63,https://app.salesloft.com/app/cadences/3760453
3342682,$BDR-MM - PI Power Hour - Wave 1,BDR,2023-12-12,2024-06-21T10:12:38.282781-07:00,315,https://app.salesloft.com/app/cadences/3342682
3634944,$BDR-MM - Practice Panther Displacement - Prospecting,BDR,2024-07-24,2025-04-10T16:43:29.497685-07:00,128,https://app.salesloft.com/app/cadences/3634944
3677336,$BDR-MM - Practice Panther Increase - Closed Lost,BDR,2024-09-06,never,0,https://app.salesloft.com/app/cadences/3677336
3582098,$BDR-MM - Previous Conversation - Revival,BDR,2024-06-10,2025-11-10T11:52:06.259632-08:00,317,https://app.salesloft.com/app/cadences/3582098
3735758,$BDR-MM - Sendoso Nov 2024 Campaign,BDR,2024-11-12,2025-04-10T11:47:29.770374-07:00,467,https://app.salesloft.com/app/cadences/3735758
3676275,$BDR-MM - Target Account - Office/Operations/Billing,BDR,2024-09-05,2025-06-04T13:19:49.514526-07:00,157,https://app.salesloft.com/app/cadences/3676275
3434377,$BDR-MM - Target Account - Paralegals,BDR,2024-03-07,2025-06-04T11:00:59.811799-07:00,213,https://app.salesloft.com/app/cadences/3434377
3676274,$BDR-MM - Target Account - Partners & Decision Makers,BDR,2024-09-05,2025-06-02T09:00:01.138888-07:00,468,https://app.salesloft.com/app/cadences/3676274
3328114,$BDR-MM - Target Accounts - Sendoso Cookie Follow-up - Prospecting,BDR,2023-11-28,2025-04-16T13:22:19.321830-07:00,1175,https://app.salesloft.com/app/cadences/3328114
3702929,$BDR-MM - Target State - California,BDR,2024-10-07,2025-03-05T19:28:17.543191-08:00,242,https://app.salesloft.com/app/cadences/3702929
3702704,$BDR-MM - Target State - Colorado ,BDR,2024-10-06,2024-10-07T10:51:37.086872-07:00,21,https://app.salesloft.com/app/cadences/3702704
3702927,$BDR-MM - Target State - Florida,BDR,2024-10-07,2024-12-17T11:57:24.113551-08:00,108,https://app.salesloft.com/app/cadences/3702927
3704781,$BDR-MM - Target State - Georgia,BDR,2024-10-08,2024-10-17T13:04:04.640297-07:00,27,https://app.salesloft.com/app/cadences/3704781
3702701,$BDR-MM - Target State - Illinois ,BDR,2024-10-06,2024-11-18T12:13:05.918411-08:00,357,https://app.salesloft.com/app/cadences/3702701
3702932,$BDR-MM - Target State - Massachusetts,BDR,2024-10-07,2024-11-07T10:43:44.326941-08:00,4,https://app.salesloft.com/app/cadences/3702932
3704785,$BDR-MM - Target State - Michigan,BDR,2024-10-08,never,0,https://app.salesloft.com/app/cadences/3704785
3702930,$BDR-MM - Target State - North Carolina,BDR,2024-10-07,2024-10-31T09:00:57.898942-07:00,10,https://app.salesloft.com/app/cadences/3702930
3702931,$BDR-MM - Target State - Pennsylvania,BDR,2024-10-07,2024-12-30T11:48:38.819331-08:00,87,https://app.salesloft.com/app/cadences/3702931
3702915,$BDR-MM - Target State - Texas,BDR,2024-10-07,2025-03-11T15:38:24.333786-07:00,579,https://app.salesloft.com/app/cadences/3702915
3251109,$BDR-MM - Tier 1 - Call Only Cadence ,BDR,2023-09-15,2025-06-04T06:51:18.805704-07:00,637,https://app.salesloft.com/app/cadences/3251109
3485814,$BDR-MM - Tier 2 Nurture MQL - Automated,BDR,2024-04-11,2024-07-12T10:07:21.906588-07:00,3,https://app.salesloft.com/app/cadences/3485814
3764752,$BDR-MM - Using Multiple Tools - Outbound,BDR,2024-12-27,2025-05-16T12:07:04.046732-07:00,20,https://app.salesloft.com/app/cadences/3764752
3760519,$BDR-MM - Using On-Premise Solutions - Outbound,BDR,2024-12-16,2025-06-09T11:22:58.815757-07:00,45,https://app.salesloft.com/app/cadences/3760519
3701438,$BDR-MM - Virtual ClioCon - Fast Touch,BDR,2024-10-03,2024-10-04T12:53:19.323061-07:00,207,https://app.salesloft.com/app/cadences/3701438
3727049,$BDR-MM - Warm - Identified Pains - Revival - Q4 24 ,BDR,2024-11-03,2025-05-21T20:41:49.344580-07:00,748,https://app.salesloft.com/app/cadences/3727049
3421434,$BDR-MM - Working Pipeline - Future Follow Ups ,BDR,2024-02-27,2025-05-21T07:26:25.124392-07:00,0,https://app.salesloft.com/app/cadences/3421434
3030337,$BDR-MM - Working Pipeline - HOT LEADS - Priority 1 ,BDR,2023-03-14,2025-05-28T14:17:57.997163-07:00,74,https://app.salesloft.com/app/cadences/3030337
3424480,$BDR-MM - Working Pipeline - WARM LEADS - Priority 2 ,BDR,2024-02-29,2025-05-27T10:55:07.710490-07:00,0,https://app.salesloft.com/app/cadences/3424480
3878349,$BDR-MM Webinar Follow Up - Watch How Mid-Sized Law Firms Use Clio,BDR,2025-05-07,2025-05-28T12:21:36.019695-07:00,27,https://app.salesloft.com/app/cadences/3878349
3821508,$MM-BDR - Sendoso Gift Card - Prospecting,BDR,2025-03-05,2025-08-27T08:09:46.792181-07:00,364,https://app.salesloft.com/app/cadences/3821508
3177527,(DO NOT USE) BDR - AI Content - Follow-up,BDR,2023-07-11,2023-07-12T11:08:41.765862-07:00,0,https://app.salesloft.com/app/cadences/3177527
3485863,(NOT READY) $BDR-MM - NMQL Revival - Tier 1 - Nurture ,BDR,2024-04-11,never,0,https://app.salesloft.com/app/cadences/3485863
3792452,* DO NOT ADD * BDR-S - Closed Lost Showing Intent - 2025,BDR,2025-02-04,2025-08-26T15:44:10.344314-07:00,7998,https://app.salesloft.com/app/cadences/3792452
3760602,* DO NOT ADD * BDR-S - Intent - WebSights - 2025,BDR,2024-12-16,2025-09-15T11:36:12.140965-07:00,12395,https://app.salesloft.com/app/cadences/3760602
3791240,* DO NOT ADD * BDR-S - NMQLs Showing Intent - 2025 ,BDR,2025-02-03,2025-09-25T15:07:06.583830-07:00,2169,https://app.salesloft.com/app/cadences/3791240
3458837,* DO NOT ADD NEW CONTACTS * BDR-S - Cold Outbound ,BDR,2024-03-25,2024-05-30T16:31:51.170642-07:00,2077,https://app.salesloft.com/app/cadences/3458837
3760609,* DO NOT ADD* BDR-S - AQL - Artificial Intelligence (AI) - 2025,BDR,2024-12-16,2025-09-22T05:26:05.397782-07:00,3936,https://app.salesloft.com/app/cadences/3760609
2950153,* DO NOT USE *BDR-S - TR - Previous Closed Lost - Prospecting - V1,BDR,2023-01-17,2025-01-06T16:49:51.971792-08:00,29275,https://app.salesloft.com/app/cadences/2950153
3321077,* DO NOT USE - BDR-S - AQL 2024,BDR,2023-11-18,2025-01-09T06:36:25.669983-08:00,16716,https://app.salesloft.com/app/cadences/3321077
2956147,* DO NOT USE - BDR-S - CL all reasons - High Grade,BDR,2023-01-23,2024-09-30T14:39:21.456391-07:00,9421,https://app.salesloft.com/app/cadences/2956147
3744474,* DO NOT USE - BDR-S - Intent V1,BDR,2024-11-22,2025-01-08T09:01:45.464101-08:00,937,https://app.salesloft.com/app/cadences/3744474
3321933,* DO NOT USE - BDR-S - Nurture MQLs 2024,BDR,2023-11-20,2025-01-09T23:00:43.619352-08:00,13666,https://app.salesloft.com/app/cadences/3321933
3679323,* DO NOT USE - BDR-S - Nurture MQLs and AQLs - John,BDR,2024-09-10,2024-11-07T10:25:40.426335-08:00,0,https://app.salesloft.com/app/cadences/3679323
3707472,* DO NOT USE - BDR-S - TR - Previous Closed Lost - Prospecting - V1 - Florida,BDR,2024-10-10,2025-01-07T06:20:01.335787-08:00,109,https://app.salesloft.com/app/cadences/3707472
3947331,** DO NOT ADD Intent Outbound Hybrid - BDR-S,BDR,2025-07-29,2025-10-01T10:10:09.506809-07:00,2059,https://app.salesloft.com/app/cadences/3947331
3228522,***ARCHIVING*** BDR-MM - ZI Intent /,BDR,2023-08-25,2023-12-11T15:35:39.202140-08:00,434,https://app.salesloft.com/app/cadences/3228522
3402863,**ARCHIVING** $BDR-MM - Intent & Website - Office/Operations/Billing ,BDR,2024-02-14,2024-07-22T10:30:13.641203-07:00,1224,https://app.salesloft.com/app/cadences/3402863
